日付,借方勘定,借方金額,貸方勘定,貸方金額,備考
2015/01/10,現金,"21,500",その他個人宅訪問金継,"21,500",徳竹さんち  
2015/01/10,現金,"14,000",その他個人宅訪問金継,"14,000",大井さんち  
2015/01/11,現金,"22,000",壺中教室,"22,000",
2015/01/12,現金,"27,500",壺中教室,"27,500",
2015/01/13,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2015/01/18,現金,"21,600",エフスタイル教室,"21,600",
2015/01/19,現金,"27,000",エフスタイル教室,"27,000",
2015/01/26,現金,"11,900",好日居教室,"11,900",
2015/01/27,現金,"25,500",好日居教室,"25,500",
2015/01/28,現金,"18,700",好日居教室,"18,700",
2015/02/07,現金,"14,000",その他個人宅訪問金継,"14,000",大井さんち  
2015/02/07,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2015/02/08,現金,"49,500",壺中教室,"49,500",
2015/02/09,現金,"34,000",壺中教室,"34,000",
2015/02/10,現金,"5,000",その他個人宅訪問金継,"5,000",椹木さんち  
2015/02/16,現金,"13,600",好日居教室,"13,600",
2015/02/17,現金,"18,700",好日居教室,"18,700",
2015/02/18,現金,"18,700",好日居教室,"18,700",
2015/02/22,現金,"18,900",エフスタイル教室,"18,900",
2015/02/23,現金,"34,400",エフスタイル教室,"34,400",
2015/02/28,現金,"21,500",その他個人宅訪問金継,"21,500",徳竹さんち  
2016/06/01,漆教室代(研究費),"15,000",現金,"15,000",
2016/06/01,金継仕事材料代・教室運営消耗品費,"1,404",現金,"1,404",その他金継材料  
2016/06/01,金継仕事材料代・教室運営消耗品費,"864",現金,"864",その他金継材料  
2016/06/02,接待交際費,"28,000",現金,"28,000",会食  
2016/06/02,接待交際費,"7,000",現金,"7,000",会食  
2016/06/03,接待交際費,"3,389",現金,"3,389",土産代  
2016/06/03,接待交際費,"5,000",現金,"5,000",会食  
2016/06/04,旅費交通費,"1,310",現金,"1,310",タクシー代  
2016/06/04,旅費交通費,"1,070",現金,"1,070",タクシー代  
2016/06/04,旅費交通費,"670",現金,"670",タクシー代  
2016/06/04,美術館・お寺観覧代・器など(取材・研究費),"4,824",クレジットカード,"4,824",
2016/06/07,水道光熱費,"724",クレジットカード,"724",ガス料金  
2016/06/08,荷造運賃,"1,412",現金,"1,412",
2016/06/10,旅費交通費,"13,910",suica,"13,910",新幹線代  
2016/06/10,旅費交通費,"2,000",現金,"2,000",電車代  
2016/06/10,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2016/06/10,旅費交通費,"1,720",普通預金(引き落とし),"1,720",電車代  
2016/06/10,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料  
2016/06/11,現金,"20,000",その他個人宅訪問金継,"20,000",大井さんち  
2016/06/11,現金,"31,500",その他個人宅訪問金継,"31,500",徳竹さんち
2016/06/12,現金,"8,000",自宅金継仕事,"8,000",
2016/06/12,現金,"66,000",壺中教室,"66,000",
2016/06/12,旅費交通費,"5,000",現金,"5,000",宿泊代  
2016/06/13,現金,"10,000",その他個人宅訪問金継,"10,000",西田信子アトリエ  
2016/06/13,現金,"22,000",壺中教室,"22,000",
2016/06/13,旅費交通費,"13,710",suica,"13,710",新幹線代  
2016/06/13,旅費交通費,"730",現金,"730",タクシー代  
2016/06/14,荷造運賃,"1,512",現金,"1,512",
2016/06/15,新聞図書費 ,"1,169",クレジットカード,"1,169",
2016/06/15,消耗品費,"3,600",クレジットカード,"3,600",ソフトウェア  
2016/06/15,現金,"30,000",自宅金継仕事,"30,000",
